index,title,document_id,modified_time,web_view_link,filename,status,error
1,【寶可夢冠軍 Pokémon Champions】玩之前 10件 你需要知道的事情🏆新手入坑前必看，課金、對戰、培育一次搞懂！,1PIX1Msa_OagV9MkPtd00gylBlrD5503tqAoSDau7Go4,2026-03-30T17:07:22.399Z,https://docs.google.com/document/d/1PIX1Msa_OagV9MkPtd00gylBlrD5503tqAoSDau7Go4/edit?usp=drivesdk,0001 - 【寶可夢冠軍 Pokémon Champions】玩之前 10件 你需要知道的事情🏆新手入坑前必看，課金、對戰、培育一次搞懂！.docx,ok,
2,【寶可夢冠軍】戰鬥基礎教學 入坑必看,1gR-xdHbbJoIn-LiF80mNW0V0lgGNFurGEEPYpy3XeLQ,2026-03-30T17:05:11.729Z,https://docs.google.com/document/d/1gR-xdHbbJoIn-LiF80mNW0V0lgGNFurGEEPYpy3XeLQ/edit?usp=drivesdk,0002 - 【寶可夢冠軍】戰鬥基礎教學 入坑必看.docx,ok,
3,SV Glitches doc,1_2jaUbkxzD1HPbb03zesfE36-7_aXKoEsZBP7sKKDgg,2026-03-30T03:31:45.839Z,https://docs.google.com/document/d/1_2jaUbkxzD1HPbb03zesfE36-7_aXKoEsZBP7sKKDgg/edit?usp=drivesdk,0003 - SV Glitches doc.docx,ok,
4,《Pokopia》夢幻怎麼拿最快？27 石板真正卡你的不是拼圖，是蒐集效率,1-x7zErPQZsFmQuAQLQRaP8bVpXF0XahRG_GzSqkxPdY,2026-03-29T14:06:40.685Z,https://docs.google.com/document/d/1-x7zErPQZsFmQuAQLQRaP8bVpXF0XahRG_GzSqkxPdY/edit?usp=drivesdk,0004 - 《Pokopia》夢幻怎麼拿最快？27 石板真正卡你的不是拼圖，是蒐集效率.docx,ok,
5,【4月最新精選強作】10款遊戲推薦,1eSPU7bhKamXQHahJP3W4bfsNtjU7s3LDwn9n6kiTi00,2026-03-27T17:45:39.102Z,https://docs.google.com/document/d/1eSPU7bhKamXQHahJP3W4bfsNtjU7s3LDwn9n6kiTi00/edit?usp=drivesdk,0005 - 【4月最新精選強作】10款遊戲推薦.docx,ok,
6,【寶可夢 Pokopia】夢島機制詳細解析🧸開局就能帶傳說寶可夢回家養⁉️,1r8I9LCOSojrxTfzhBapymLOcPKH6Y9llpkybT9c6CVo,2026-03-26T07:33:43.174Z,https://docs.google.com/document/d/1r8I9LCOSojrxTfzhBapymLOcPKH6Y9llpkybT9c6CVo/edit?usp=drivesdk,0006 - 【寶可夢 Pokopia】夢島機制詳細解析🧸開局就能帶傳說寶可夢回家養⁉️.docx,ok,
7,【寶可夢 Pokopia】新手開局必看攻略✨ 前期你需要知道的 10 個超實用技巧！,1iMJz0zBVtSS4WkKLoT7_D2DwTBFtC9jy3Kija9qJR_I,2026-03-23T09:08:09.847Z,https://docs.google.com/document/d/1iMJz0zBVtSS4WkKLoT7_D2DwTBFtC9jy3Kija9qJR_I/edit?usp=drivesdk,0007 - 【寶可夢 Pokopia】新手開局必看攻略✨ 前期你需要知道的 10 個超實用技巧！.docx,ok,
8,【寶可夢ZA】10準神,1mu4db_xQhCvWpAqbRS41lYf8Np3mlQVoyio2YLMCGEU,2026-03-19T19:59:18.918Z,https://docs.google.com/document/d/1mu4db_xQhCvWpAqbRS41lYf8Np3mlQVoyio2YLMCGEU/edit?usp=drivesdk,0008 - 【寶可夢ZA】10準神.docx,ok,
9,【歧路旅人0】新手開局必看攻略✨前期你需要知道的10個超實用技巧 ，大幅提升遊戲體驗,1xIb114FYYCzTYrURHDMtsSxo4h8GS4REospAJLQVgGs,2026-03-19T19:57:49.163Z,https://docs.google.com/document/d/1xIb114FYYCzTYrURHDMtsSxo4h8GS4REospAJLQVgGs/edit?usp=drivesdk,0009 - 【歧路旅人0】新手開局必看攻略✨前期你需要知道的10個超實用技巧 ，大幅提升遊戲體驗.docx,ok,
10,【光與影33 號遠征隊】前期最速成形最強流派，獨郎流。,10GA4KH9G9efGvSAlRa8khTs-6eQfXhIx0YP3AT8PYL4,2026-03-19T19:56:19.528Z,https://docs.google.com/document/d/10GA4KH9G9efGvSAlRa8khTs-6eQfXhIx0YP3AT8PYL4/edit?usp=drivesdk,0010 - 【光與影33 號遠征隊】前期最速成形最強流派，獨郎流。.docx,ok,
11,零 ～紅蝶～ REMAKE,1aTFeQn2Ur0wJXJiQPQseXwUYT8FYhYCaIlDPPIQZDSs,2026-03-19T04:16:18.132Z,https://docs.google.com/document/d/1aTFeQn2Ur0wJXJiQPQseXwUYT8FYhYCaIlDPPIQZDSs/edit?usp=drivesdk,0011 - 零 ～紅蝶～ REMAKE.docx,ok,
12,【寶可夢 Pokopia】全自動血汗工廠,1uLl8hDfuLKC0_oMc315hqr9rjRW63HHvu4s3p83wbIE,2026-03-15T00:49:11.751Z,https://docs.google.com/document/d/1uLl8hDfuLKC0_oMc315hqr9rjRW63HHvu4s3p83wbIE/edit?usp=drivesdk,0012 - 【寶可夢 Pokopia】全自動血汗工廠.docx,ok,
13,零～紅蝶～ REMAKE ,1N86DHKUkNnf6ET-4536PIcWm-v2YKfsBoEKnojfKrX4,2026-03-11T12:23:04.222Z,https://docs.google.com/document/d/1N86DHKUkNnf6ET-4536PIcWm-v2YKfsBoEKnojfKrX4/edit?usp=drivesdk,0013 - 零～紅蝶～ REMAKE.docx,ok,
14,【寶可夢 Pokopia】每天必做的10件事！不先做真的會慢別人一大截！,1jDuUdXdFMBAO4Dh1pD2GYtS0rcHJNYDpUCF3EZtQSZQ,2026-03-09T11:31:40.248Z,https://docs.google.com/document/d/1jDuUdXdFMBAO4Dh1pD2GYtS0rcHJNYDpUCF3EZtQSZQ/edit?usp=drivesdk,0014 - 【寶可夢 Pokopia】每天必做的10件事！不先做真的會慢別人一大截！.docx,ok,
